,2w1a_a,1gcw_a,1c01_a,1l6r_a,3p1a_a,6ldp_a,3r1a_a,2ocj_a,2r1a_a,3f1a_a,2u1a_a,1s7m_a,2x1a_a,1j3h_a,1g65_a,1n1d_a,1mbd_a,1y3a_a,3a1a_a,1b10_a,3l1a_a,3o1a_a,3k1a_a,2v1a_a,2c3a_a,3t1a_a,3d1a_a,2j1a_a,1e8x_a,2y1a_a,1g8a_a,1d7b_a,1qm0_a,2a2a_a,2n1a_a,3c1a_a,3w1a_a,2g1a_a,1jj2_b,1ag2_a,2z1a_a,3n1a_a,3i1a_a,1t8a_a,2l1a_a,3exj_a,1m4r_a,3s1a_a,1byq_a,1bz0_a,1i31_a,1dx0_a,4nfb_a,1b9v_a,1a3n_a,2h1a_a,1tup_c,3g1a_a,1v3a_a,1u2b_a,3m1a_a,3h1a_a,5fhx_a,1f2a_a,1csn_a,1out_a,1uw3_a,2f1a_a,1x2a_a,3j1a_a,1qg3_a,1w4a_a
2w1a_a,6.658668780801236e-07,11.306455612182617,9.217921257019043,10.56153678894043,7.436883926391602,4.729162216186523,8.920430183410645,9.314499855041504,9.208508491516113,5.7453155517578125,8.75106430053711,9.924012184143066,2.9500091075897217,11.250493049621582,7.907903671264648,7.59707498550415,9.319344520568848,10.869778633117676,6.813464641571045,8.16694450378418,12.25655746459961,6.359982490539551,8.973644256591797,6.204048156738281,7.819008827209473,11.268876075744629,9.047619819641113,3.4764392375946045,4.612375259399414,5.254609107971191,6.1352081298828125,13.59041690826416,6.466395854949951,5.939953327178955,14.12441349029541,6.250431060791016,2.9124608039855957,10.681746482849121,10.117125511169434,4.448159694671631,7.821472644805908,10.906261444091797,9.193848609924316,9.343863487243652,8.094054222106934,11.274468421936035,6.568244457244873,6.962332725524902,6.565942287445068,11.13692569732666,4.323173522949219,3.845792293548584,7.156085968017578,4.16321325302124,11.471755981445312,9.093208312988281,3.593611717224121,9.085704803466797,8.736258506774902,2.901033639907837,8.58742618560791,7.07606840133667,9.790342330932617,7.812009811401367,9.588361740112305,4.374679088592529,8.823784828186035,14.383801460266113,10.71054458618164,7.296341419219971,6.1741156578063965,10.17392635345459
1gcw_a,11.306455612182617,6.179941181017057e-08,4.37890625,5.99987268447876,6.787964820861816,8.202609062194824,8.810070037841797,6.642228603363037,5.612314701080322,6.35500955581665,10.6629056930542,6.0375494956970215,6.909394264221191,4.974306106567383,5.714940071105957,3.054455280303955,3.9431471824645996,11.381631851196289,7.206855297088623,7.631417751312256,5.667278289794922,9.047874450683594,6.49746036529541,8.788904190063477,9.989852905273438,9.079176902770996,5.470032691955566,8.623119354248047,7.937788009643555,7.9207611083984375,6.794374465942383,9.219134330749512,7.165173530578613,5.728184223175049,7.385861873626709,10.391554832458496,8.121567726135254,10.286125183105469,10.173565864562988,8.654314041137695,8.13551139831543,7.7801737785339355,9.473779678344727,5.806081771850586,5.6459832191467285,8.02564525604248,7.5888800621032715,11.15545654296875,9.836739540100098,3.8749399185180664,6.414867877960205,5.481123447418213,7.030402660369873,3.8312876224517822,6.222594738006592,8.51420783996582,7.8989105224609375,5.701444625854492,7.515717029571533,5.981888294219971,4.405337333679199,3.589545249938965,6.509674072265625,6.857921600341797,4.57991361618042,4.049654483795166,9.303437232971191,10.821765899658203,7.060913562774658,8.995368957519531,6.253493309020996,6.567521095275879
1c01_a,9.217921257019043,4.37890625,2.7070328201261873e-07,10.087748527526855,7.2415337562561035,7.231942176818848,5.120568752288818,6.333219051361084,7.424947261810303,7.617682933807373,9.982295989990234,7.774272918701172,7.183162689208984,10.890454292297363,5.711564540863037,9.13140869140625,7.7835211753845215,7.649833679199219,8.732950210571289,7.159773349761963,5.418160915374756,3.6872875690460205,7.370346546173096,7.435513019561768,9.82400131225586,4.756252288818359,7.488558292388916,7.238414764404297,8.256022453308105,10.640989303588867,6.645556926727295,8.876672744750977,9.429594039916992,6.787151336669922,5.757627964019775,11.711760520935059,8.52283000946045,6.588813781738281,8.610912322998047,6.652768611907959,6.360726833343506,5.397681713104248,8.651966094970703,8.271410942077637,6.949847221374512,6.211783409118652,6.723377227783203,7.232668399810791,9.335454940795898,4.942743301391602,9.183807373046875,6.504003524780273,9.04071044921875,5.066206455230713,7.490006923675537,7.552478790283203,9.994466781616211,4.817222595214844,6.428850173950195,8.083026885986328,7.373084545135498,9.962823867797852,5.57381534576416,7.170706272125244,8.649925231933594,5.707795143127441,7.659749507904053,6.255007266998291,9.583093643188477,6.870034694671631,8.182909965515137,5.701089382171631
1l6r_a,10.56153678894043,5.999872207641602,10.087748527526855,7.66620928516204e-07,3.270812749862671,9.108180046081543,3.925973892211914,8.322175979614258,15.255231857299805,8.986898422241211,11.660622596740723,8.192047119140625,15.50614070892334,9.882062911987305,8.367222785949707,5.984897613525391,8.145644187927246,13.775043487548828,5.037622928619385,15.513412475585938,12.148652076721191,14.12459659576416,10.032242774963379,11.00297737121582,10.842280387878418,6.9164347648620605,6.86150598526001,7.433042049407959,14.066604614257812,6.150791645050049,4.780098915100098,17.0672664642334,9.918499946594238,8.676173210144043,3.9963743686676025,2.469168186187744,13.619427680969238,9.85903549194336,6.13285493850708,13.792140007019043,7.12070894241333,13.598484992980957,9.01603889465332,11.558266639709473,7.457312107086182,8.265563011169434,13.889671325683594,13.686125755310059,13.986944198608398,7.252425670623779,4.313520431518555,15.124711990356445,10.288771629333496,6.440920352935791,9.877340316772461,5.450270652770996,11.651314735412598,10.094881057739258,8.78496265411377,15.063243865966797,7.331734657287598,8.985285758972168,6.206931114196777,7.655186653137207,9.493441581726074,13.019746780395508,12.015700340270996,8.168665885925293,12.142629623413086,12.1950044631958,6.1977996826171875,7.572744369506836
3p1a_a,7.436883926391602,6.787964820861816,7.2415337562561035,3.270812749862671,8.940696716308594e-08,3.9195823669433594,10.428119659423828,9.692071914672852,13.576496124267578,7.502899169921875,9.223627090454102,4.328835487365723,12.871377944946289,10.79280948638916,9.10571002960205,10.283783912658691,10.578032493591309,5.500876426696777,3.5560243129730225,3.3586297035217285,5.46226692199707,11.702310562133789,3.5510096549987793,12.981847763061523,14.568320274353027,7.447541236877441,7.035667896270752,6.537914752960205,5.131892204284668,4.1950860023498535,7.441318035125732,3.7687408924102783,6.1307053565979,9.644844055175781,6.743841648101807,13.34715461730957,2.739063024520874,8.709959030151367,4.224061965942383,14.76323413848877,4.405117511749268,2.180744171142578,13.07631778717041,11.061305046081543,7.132513523101807,12.169236183166504,4.816391468048096,8.223276138305664,14.391542434692383,10.413206100463867,12.711291313171387,11.158580780029297,4.995460510253906,5.00023078918457,10.469046592712402,4.384903907775879,11.31188678741455,9.70615291595459,9.18968391418457,12.972143173217773,5.988927364349365,8.772412300109863,10.774022102355957,11.419507026672363,11.318807601928711,9.391672134399414,11.033726692199707,9.720988273620605,14.166045188903809,4.374870777130127,10.847967147827148,9.423699378967285
6ldp_a,4.729162693023682,8.20261001586914,7.231942176818848,9.108180046081543,3.919581890106201,1.6302986693972343e-07,6.046274185180664,4.050743579864502,13.58988094329834,4.735926151275635,6.706228733062744,4.243407726287842,12.865200996398926,3.482584238052368,8.257857322692871,6.711318016052246,7.401341438293457,6.23787260055542,7.009941101074219,14.703417778015137,8.027525901794434,10.105388641357422,5.022157669067383,3.607041358947754,15.693532943725586,7.500112533569336,8.788335800170898,9.667312622070312,4.9150238037109375,13.765982627868652,10.555585861206055,8.841666221618652,16.22348403930664,10.478598594665527,5.50579309463501,14.484109878540039,9.75932502746582,11.929097175598145,14.84203052520752,9.65542221069336,8.30488395690918,7.545176029205322,7.55341100692749,8.716282844543457,12.056669235229492,7.096172332763672,9.988194465637207,8.860589027404785,3.886043071746826,6.2732930183410645,9.685298919677734,10.929376602172852,8.936853408813477,3.3941423892974854,11.81544017791748,10.924017906188965,8.110679626464844,6.007644176483154,4.062880992889404,15.286866188049316,6.4658918380737305,8.260102272033691,8.65927505493164,9.839570999145508,7.3017778396606445,7.468113899230957,3.845625877380371,10.017155647277832,8.367939949035645,12.040032386779785,9.11724853515625,6.805446624755859
3r1a_a,8.920430183410645,8.810070037841797,5.120568752288818,3.9259731769561768,10.428119659423828,6.046274185180664,6.856639629404526e-07,9.563368797302246,15.250999450683594,6.91294002532959,6.526476860046387,5.2693071365356445,4.228338718414307,6.563445568084717,9.228811264038086,6.1769561767578125,7.883159160614014,8.346664428710938,6.533369064331055,4.126184463500977,4.43282413482666,7.221357345581055,4.3997297286987305,6.135658264160156,8.419242858886719,7.195837497711182,11.418889045715332,5.239169120788574,3.7230114936828613,8.34412670135498,12.202251434326172,6.506807327270508,4.852304458618164,8.639906883239746,9.355551719665527,12.965447425842285,3.385434627532959,7.054213047027588,13.13597583770752,11.883183479309082,5.6086249351501465,8.028522491455078,13.04840087890625,6.963308334350586,8.899031639099121,9.843582153320312,6.232792854309082,5.875792980194092,11.62093448638916,9.522283554077148,5.3593549728393555,4.226154327392578,6.058572769165039,7.240242004394531,8.00449275970459,5.186025619506836,9.9854097366333,10.544355392456055,4.159198760986328,5.964343547821045,6.1610517501831055,8.303455352783203,8.341979026794434,14.347960472106934,8.197341918945312,4.287053108215332,5.562416076660156,8.310900688171387,11.479501724243164,6.229191303253174,4.390960693359375,10.359326362609863
2ocj_a,9.31450080871582,6.642228603363037,6.333219051361084,8.322175979614258,9.692071914672852,4.050743579864502,9.563368797302246,5.264614060251915e-07,10.596658706665039,10.366320610046387,12.02086067199707,12.231884002685547,12.707735061645508,13.256361961364746,9.213846206665039,7.232750415802002,8.49429702758789,3.800285577774048,3.1379833221435547,4.517887592315674,5.674830913543701,10.92651081085205,6.051018714904785,6.949655055999756,6.3325982093811035,4.446619033813477,4.747682094573975,4.131227016448975,5.628650665283203,10.431378364562988,4.06662130355835,6.511343479156494,9.010847091674805,9.267902374267578,3.630075693130493,10.468488693237305,7.019282817840576,7.451521396636963,4.953205108642578,8.652168273925781,6.115954399108887,5.3505120277404785,10.784334182739258,5.84234094619751,8.800352096557617,8.169549942016602,5.140378475189209,3.2909159660339355,9.059797286987305,3.9882519245147705,10.632733345031738,10.866456985473633,6.3648295402526855,6.389468193054199,4.976805686950684,4.830498218536377,13.125839233398438,6.2222700119018555,3.087794303894043,12.436698913574219,6.856511116027832,12.290387153625488,9.802824974060059,5.32378625869751,8.382704734802246,10.594683647155762,14.907247543334961,4.431219577789307,10.56787109375,5.16713809967041,7.932239055633545,7.562441825866699
2r1a_a,9.208508491516113,5.612314701080322,7.424947261810303,15.255231857299805,13.576496124267578,13.58988094329834,15.250999450683594,10.596658706665039,4.817478611585102e-07,9.247245788574219,15.327790260314941,9.717789649963379,9.033658027648926,3.413414716720581,7.474105358123779,8.049617767333984,9.091864585876465,11.82580280303955,4.823476314544678,5.017177581787109,5.130704879760742,9.465690612792969,9.5557861328125,4.75361442565918,3.709933280944824,11.811344146728516,5.633479595184326,8.29951286315918,3.9437716007232666,4.050379753112793,13.349133491516113,15.95239543914795,5.21480131149292,9.763949394226074,10.45287799835205,2.832346200942993,8.888971328735352,7.434084415435791,5.466668605804443,8.940391540527344,8.154152870178223,12.92507553100586,3.6294453144073486,6.764588356018066,8.064620018005371,9.437797546386719,8.041086196899414,12.875982284545898,6.401716709136963,7.424790382385254,4.800571441650391,6.194230079650879,3.573413610458374,12.919968605041504,11.848587036132812,7.077627182006836,12.413044929504395,7.463552951812744,3.922043800354004,5.309739589691162,9.33116340637207,7.760823726654053,11.286182403564453,11.300386428833008,8.340068817138672,10.079840660095215,13.89978313446045,13.804540634155273,3.861161708831787,9.061494827270508,5.240859031677246,6.38466215133667
3f1a_a,5.745315074920654,6.35500955581665,7.617682933807373,8.986898422241211,7.502899169921875,4.735926151275635,6.91294002532959,10.366320610046387,9.247245788574219,1.9768624781590916e-07,5.106598377227783,9.003874778747559,6.312596797943115,12.562054634094238,7.073678016662598,7.223476409912109,6.275372505187988,10.65178108215332,2.1717560291290283,12.752100944519043,9.830178260803223,3.3794567584991455,3.803717613220215,6.859499454498291,6.706235408782959,2.404963254928589,6.2929863929748535,10.488856315612793,9.477499008178711,5.455715179443359,5.813500881195068,7.133310317993164,10.952482223510742,9.705575942993164,3.3402559757232666,5.705710411071777,9.528571128845215,8.550588607788086,4.565724849700928,5.190441131591797,10.225543975830078,7.88454532623291,5.994049549102783,4.8177337646484375,9.628479957580566,10.797611236572266,8.878105163574219,5.523723602294922,3.6855382919311523,4.722214221954346,8.95838737487793,12.60425090789795,11.09473705291748,7.512683868408203,6.424338340759277,8.877254486083984,4.7940592765808105,7.194183826446533,10.723591804504395,10.744308471679688,11.225693702697754,10.857707023620605,8.666119575500488,5.243471622467041,6.274934768676758,4.253587245941162,6.963370323181152,3.4832985401153564,10.980798721313477,7.64731502532959,4.353842735290527,5.5340728759765625
