UniProt_ID,PDB_Len,UniProt_Len
P61823,124,150
P01308,21,110
P69905,141,142
P68871,141,147
P02144,149,154
P04141,120,144
P00533,511,1210
P04637,29,393
P00761,125,231
P01178,9,125
