,1tup_c,3exj_a,2wtt_a,1t4w_a,1qm0_a,1dx0_a,1ag2_a,1b10_a,1uw3_a,1jj2_b,1a3n_a,1bz0_a,1gcw_a,1out_a,1mbd_a,2ocj_a,4nfb_a,1qg3_a,6ldp_a,5fhx_a,1b9v_a,1byq_a,1c01_a,1csn_a,1d7b_a,1e8x_a,1f2a_a,1g65_a,1g8a_a,1i31_a,1j3h_a,1kbe_a,1l6r_a,1m4r_a,1n1d_a,1p3a_a,1q6a_a,1s7m_a,1t8a_a,1u2b_a,1v3a_a,1w4a_a,1x2a_a,1y3a_a,1z1a_a,2a2a_a,2c3a_a,2e1a_a,2f1a_a,2g1a_a,2h1a_a,2i1a_a,2j1a_a,2k1a_a,2l1a_a,2m1a_a,2n1a_a,2o1a_a,2p1a_a,2r1a_a,2u1a_a,2v1a_a,2w1a_a,2x1a_a,2y1a_a,2z1a_a,3a1a_a,3c1a_a,3d1a_a,3f1a_a,3g1a_a,3h1a_a,3i1a_a,3j1a_a,3k1a_a,3l1a_a,3m1a_a,3n1a_a,3o1a_a,3p1a_a,3r1a_a,3s1a_a,3t1a_a,3u1a_a,3v1a_a,3w1a_a
1tup_c,100.0,86.0825,17.5,12.820499999999996,12.5,12.5,10.679599999999994,11.2821,13.20750000000001,13.333300000000008,11.347499999999997,11.347499999999997,12.142899999999997,11.971800000000002,8.496700000000004,100.0,10.833300000000008,10.769199999999998,10.769199999999998,13.114800000000002,11.794899999999998,10.769199999999998,9.7436,11.794899999999998,9.729699999999994,12.307699999999997,11.2821,11.2821,10.2564,10.769199999999998,10.769199999999998,14.285700000000006,9.230799999999988,11.267600000000002,12.698399999999992,11.224500000000006,13.084099999999992,12.025300000000001,10.857100000000003,10.9375,9.876499999999993,11.794899999999998,11.2821,10.769199999999998,10.526300000000006,11.2821,10.2564,13.333300000000008,13.333300000000008,9.230799999999988,10.2941,10.526300000000006,11.347499999999997,10.2564,9.7436,8.205100000000002,10.769199999999998,10.833300000000008,10.218999999999994,11.450400000000002,10.769199999999998,10.416700000000006,11.794899999999998,11.494299999999996,11.794899999999998,11.794899999999998,12.878799999999998,13.333300000000008,12.056699999999992,10.126599999999996,10.2564,9.7436,11.794899999999998,10.9375,12.307699999999997,12.307699999999997,11.2821,11.2821,13.846199999999996,12.820499999999996,11.794899999999998,12.307699999999997,10.769199999999998,14.634100000000004,14.583299999999994,11.2821
3exj_a,86.0825,100.0,15.0,12.886600000000001,12.5,13.461500000000001,10.679599999999994,9.79379999999999,12.264200000000002,13.40209999999999,11.347499999999997,11.347499999999997,12.142899999999997,12.676100000000005,10.457499999999996,86.0825,10.833300000000008,11.855699999999999,11.340199999999996,12.295100000000005,11.855699999999999,10.824699999999993,10.824699999999993,11.855699999999999,9.729699999999994,11.855699999999999,12.371099999999998,11.340199999999996,10.309299999999993,10.309299999999993,10.824699999999993,14.285700000000006,9.79379999999999,12.676100000000005,10.317499999999995,11.224500000000006,11.215000000000003,10.759500000000003,11.428600000000003,12.5,10.493799999999993,10.309299999999993,12.371099999999998,10.309299999999993,10.526300000000006,10.309299999999993,12.371099999999998,14.666700000000006,13.917500000000004,9.79379999999999,11.029399999999995,11.403499999999994,11.347499999999997,11.340199999999996,9.79379999999999,8.762900000000002,10.309299999999993,10.833300000000008,13.1387,11.450400000000002,10.824699999999993,9.7222,10.824699999999993,12.643699999999995,12.886600000000001,12.886600000000001,12.878799999999998,10.824699999999993,9.929100000000005,11.39240000000001,10.824699999999993,11.340199999999996,10.824699999999993,13.281199999999998,12.371099999999998,12.371099999999998,11.855699999999999,9.79379999999999,12.371099999999998,11.855699999999999,12.371099999999998,13.917500000000004,12.371099999999998,14.634100000000004,12.5,10.824699999999993
2wtt_a,17.5,15.0,100.0,15.0,12.5,15.0,17.5,12.5,17.5,25.0,15.0,15.0,17.5,17.5,20.0,17.5,20.0,17.5,22.5,17.5,17.5,22.5,15.0,22.5,17.5,20.0,17.5,20.0,20.0,25.0,20.0,7.5,17.5,20.0,17.5,27.5,27.5,12.5,17.5,17.5,20.0,17.5,22.5,17.5,17.5,25.0,22.5,15.0,30.0,17.5,15.0,15.0,17.5,15.0,20.0,12.5,15.0,15.0,17.5,20.0,17.5,17.5,20.0,15.0,20.0,20.0,20.0,17.5,15.0,17.5,17.5,20.0,17.5,15.0,17.5,17.5,20.0,17.5,15.0,17.5,17.5,20.0,25.0,17.5,15.0,22.5
1t4w_a,12.820499999999996,12.886600000000001,15.0,100.0,13.461500000000001,12.5,10.679599999999994,11.224500000000006,12.264200000000002,11.224500000000006,12.056699999999992,12.056699999999992,11.428600000000003,11.971800000000002,13.0719,12.886600000000001,11.666699999999992,13.846199999999996,10.714299999999994,10.655699999999996,10.714299999999994,9.6939,8.673500000000004,10.714299999999994,9.1892,12.244900000000001,9.6939,10.714299999999994,11.224500000000006,11.224500000000006,12.755099999999999,14.285700000000006,10.204100000000011,11.267600000000002,11.904800000000009,12.244900000000001,12.149500000000003,11.39240000000001,10.285699999999991,11.718800000000002,11.728400000000008,10.714299999999994,11.224500000000006,12.244900000000001,12.280699999999996,13.775499999999994,11.734700000000004,14.666700000000006,12.755099999999999,10.204100000000011,11.76469999999999,11.403499999999994,10.638300000000001,9.183699999999988,9.183699999999988,9.6939,10.714299999999994,12.5,10.948899999999995,10.686999999999998,10.204100000000011,10.416700000000006,9.6939,14.94250000000001,11.734700000000004,11.734700000000004,10.606099999999998,11.224500000000006,11.347499999999997,11.39240000000001,9.183699999999988,11.224500000000006,11.734700000000004,10.9375,11.224500000000006,9.6939,12.755099999999999,11.734700000000004,10.714299999999994,9.6939,10.714299999999994,12.755099999999999,10.714299999999994,17.0732,20.833299999999994,11.224500000000006
1qm0_a,12.5,12.5,12.5,13.461500000000001,100.0,92.3077,90.2913,85.5769,91.3462,11.538499999999999,10.576899999999995,10.576899999999995,11.538499999999999,8.653800000000004,8.653800000000004,12.5,10.576899999999995,13.461500000000001,14.423100000000005,8.653800000000004,13.461500000000001,11.538499999999999,14.423100000000005,13.461500000000001,11.538499999999999,13.461500000000001,12.5,9.615399999999994,11.538499999999999,12.5,13.461500000000001,12.244900000000001,12.5,10.576899999999995,13.461500000000001,11.224500000000006,11.538499999999999,9.615399999999994,11.538499999999999,11.538499999999999,10.576899999999995,11.538499999999999,10.576899999999995,11.538499999999999,11.538499999999999,12.5,13.461500000000001,14.666700000000006,15.384600000000006,13.461500000000001,11.538499999999999,9.615399999999994,15.384600000000006,11.538499999999999,12.5,9.615399999999994,12.5,13.461500000000001,13.461500000000001,10.576899999999995,9.615399999999994,11.538499999999999,13.461500000000001,10.344799999999992,16.346199999999996,14.423100000000005,10.576899999999995,12.5,9.615399999999994,9.615399999999994,10.576899999999995,10.576899999999995,12.5,13.461500000000001,12.5,10.576899999999995,11.538499999999999,11.538499999999999,11.538499999999999,10.576899999999995,13.461500000000001,14.423100000000005,14.423100000000005,8.536600000000007,20.833299999999994,13.461500000000001
1dx0_a,12.5,13.461500000000001,15.0,12.5,92.3077,100.0,91.2621,88.4615,95.1923,11.538499999999999,8.653800000000004,8.653800000000004,12.5,9.615399999999994,9.615399999999994,12.5,10.576899999999995,14.423100000000005,12.5,8.653800000000004,14.423100000000005,12.5,14.423100000000005,10.576899999999995,12.5,12.5,10.576899999999995,11.538499999999999,12.5,12.5,14.423100000000005,12.244900000000001,11.538499999999999,8.653800000000004,13.461500000000001,10.204100000000011,11.538499999999999,10.576899999999995,10.576899999999995,11.538499999999999,10.576899999999995,12.5,11.538499999999999,12.5,10.576899999999995,13.461500000000001,14.423100000000005,16.0,16.346199999999996,11.538499999999999,11.538499999999999,8.653800000000004,14.423100000000005,9.615399999999994,10.576899999999995,10.576899999999995,13.461500000000001,11.538499999999999,12.5,11.538499999999999,9.615399999999994,10.576899999999995,12.5,10.344799999999992,13.461500000000001,15.384600000000006,9.615399999999994,12.5,8.653800000000004,10.576899999999995,11.538499999999999,11.538499999999999,12.5,14.423100000000005,13.461500000000001,10.576899999999995,10.576899999999995,12.5,12.5,10.576899999999995,14.423100000000005,15.384600000000006,15.384600000000006,9.756100000000004,16.666700000000006,15.384600000000006
1ag2_a,10.679599999999994,10.679599999999994,17.5,10.679599999999994,90.2913,91.2621,100.0,94.1748,90.2913,11.650499999999994,9.708700000000007,9.708700000000007,11.650499999999994,8.737899999999996,8.737899999999996,10.679599999999994,11.650499999999994,12.621400000000008,10.679599999999994,9.708700000000007,12.621400000000008,10.679599999999994,13.592200000000005,11.650499999999994,12.621400000000008,12.621400000000008,11.650499999999994,10.679599999999994,11.650499999999994,13.592200000000005,11.650499999999994,12.244900000000001,10.679599999999994,9.708700000000007,12.621400000000008,9.183699999999988,10.679599999999994,10.679599999999994,9.708700000000007,12.621400000000008,9.708700000000007,12.621400000000008,11.650499999999994,12.621400000000008,10.679599999999994,12.621400000000008,14.563099999999991,13.333300000000008,16.504900000000006,13.592200000000005,10.679599999999994,10.679599999999994,14.563099999999991,10.679599999999994,10.679599999999994,7.766999999999996,10.679599999999994,13.592200000000005,10.679599999999994,11.650499999999994,9.708700000000007,10.679599999999994,12.621400000000008,10.344799999999992,16.504900000000006,15.534000000000006,11.650499999999994,12.621400000000008,8.737899999999996,11.650499999999994,11.650499999999994,10.679599999999994,13.592200000000005,13.592200000000005,14.563099999999991,11.650499999999994,10.679599999999994,12.621400000000008,10.679599999999994,10.679599999999994,13.592200000000005,14.563099999999991,13.592200000000005,12.195099999999996,16.666700000000006,13.592200000000005
1b10_a,11.2821,9.79379999999999,12.5,11.224500000000006,85.5769,88.4615,94.1748,100.0,87.7358,8.902100000000004,9.21990000000001,9.21990000000001,11.428600000000003,9.859200000000001,9.150300000000001,11.340199999999996,10.833300000000008,11.2821,7.235100000000003,11.475400000000008,9.487200000000001,9.859200000000001,7.828900000000004,9.21499999999999,11.351399999999998,8.0856,8.837199999999996,10.0,10.132199999999997,9.375,10.0304,12.244900000000001,9.7778,9.154899999999998,13.492099999999994,12.244900000000001,14.018699999999995,10.126599999999996,10.285699999999991,10.9375,11.111099999999993,9.836100000000002,9.090900000000005,9.364499999999992,10.526300000000006,9.868399999999994,10.671899999999994,13.333300000000008,8.571399999999997,9.090900000000005,10.2941,12.280699999999996,12.056699999999992,7.029499999999999,8.831800000000001,7.884599999999992,10.841400000000007,15.0,10.948899999999995,13.740499999999997,6.6477,10.416700000000006,8.647499999999994,13.79310000000001,9.337299999999999,9.072999999999993,12.878799999999998,8.666700000000006,9.21990000000001,9.493700000000004,9.174300000000002,8.7838,8.536600000000007,12.5,8.351200000000006,10.2273,8.921900000000008,9.174300000000002,8.616199999999992,8.896799999999999,9.032300000000006,9.702999999999989,7.761700000000005,10.9756,14.583299999999994,7.667699999999996
1uw3_a,13.20750000000001,12.264200000000002,17.5,12.264200000000002,91.3462,95.1923,90.2913,87.7358,100.0,12.264200000000002,10.377400000000009,10.377400000000009,10.377400000000009,8.4906,9.433999999999997,13.20750000000001,10.377400000000009,14.150899999999993,12.264200000000002,8.4906,14.150899999999993,10.377400000000009,13.20750000000001,12.264200000000002,11.320799999999991,12.264200000000002,12.264200000000002,11.320799999999991,11.320799999999991,12.264200000000002,16.0377,10.204100000000011,10.377400000000009,10.377400000000009,13.20750000000001,9.183699999999988,12.264200000000002,10.377400000000009,10.377400000000009,11.320799999999991,9.433999999999997,11.320799999999991,10.377400000000009,11.320799999999991,10.377400000000009,12.264200000000002,14.150899999999993,14.666700000000006,16.0377,12.264200000000002,11.320799999999991,11.320799999999991,14.150899999999993,9.433999999999997,11.320799999999991,9.433999999999997,11.320799999999991,12.264200000000002,12.264200000000002,12.264200000000002,9.433999999999997,10.377400000000009,12.264200000000002,11.494299999999996,13.20750000000001,14.150899999999993,10.377400000000009,12.264200000000002,8.4906,11.320799999999991,12.264200000000002,10.377400000000009,12.264200000000002,14.150899999999993,13.20750000000001,10.377400000000009,11.320799999999991,12.264200000000002,12.264200000000002,11.320799999999991,13.20750000000001,15.094300000000004,14.150899999999993,10.9756,16.666700000000006,16.0377
1jj2_b,13.333300000000008,13.40209999999999,25.0,11.224500000000006,11.538499999999999,11.538499999999999,11.650499999999994,8.902100000000004,12.264200000000002,100.0,12.056699999999992,12.056699999999992,12.142899999999997,11.267600000000002,13.0719,13.40209999999999,13.333300000000008,12.307699999999997,11.572699999999998,12.295100000000005,10.385800000000003,11.737099999999998,9.198799999999991,10.58019999999999,12.432400000000001,10.088999999999999,11.16279999999999,12.0,13.215900000000005,10.546900000000008,9.118499999999997,16.326499999999996,12.888900000000007,13.380300000000005,11.904800000000009,13.265299999999996,13.084099999999992,12.658199999999994,14.285700000000006,13.281199999999998,12.963000000000008,11.803300000000007,12.166200000000003,10.702299999999994,14.0351,10.8553,10.671899999999994,16.0,11.572699999999998,12.918700000000001,13.23530000000001,12.280699999999996,15.602799999999988,10.68249999999999,9.198799999999991,9.792299999999997,11.275999999999996,10.833300000000008,10.948899999999995,12.977099999999993,9.792299999999997,13.888900000000007,10.979200000000006,16.092,11.144600000000011,11.275999999999996,11.363599999999991,13.333300000000008,12.056699999999992,14.557000000000002,11.926599999999993,10.472999999999999,8.231700000000004,12.5,12.462900000000005,12.121200000000002,13.011200000000002,11.620800000000003,12.166200000000003,14.234899999999996,12.462900000000005,11.869399999999999,10.68249999999999,15.853700000000003,14.583299999999994,10.223600000000005
